City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,kaa-khem,51.6833,94.7333,-7.0,34,1,1.14,RU,1698548322
259,maceio,-9.6658,-35.7353,23.69,94,40,1.54,BR,1698548322
260,tolanaro,-25.0319,46.9987,24.04,88,20,8.23,MG,1698548322
261,plastun,44.7561,136.2939,10.46,28,4,1.67,RU,1698548322
262,nileshwar,12.25,75.1,26.71,81,73,1.57,IN,1698548323
263,roma,43.2128,-75.4557,7.83,90,0,0.0,US,1698548323
264,bel ombre,-4.6167,55.4167,27.91,74,40,4.12,SC,1698548323
265,daye,30.0833,114.95,23.25,52,83,1.06,CN,1698548323
266,qui nhon,13.7667,109.2333,28.11,77,78,3.03,VN,1698548323
267,naama,33.2667,-0.3167,12.63,37,100,0.66,DZ,1698548323
268,nova vicosa,-17.8919,-39.3719,24.72,84,86,5.62,BR,1698548323
269,uturoa,-16.7333,-151.4333,26.39,79,100,7.12,PF,1698548323
270,melfort,52.8667,-104.6177,-5.93,86,77,2.06,CA,1698548175
271,tacuarembo,-31.7333,-55.9833,19.37,92,6,1.91,UY,1698548295
272,toliara,-23.35,43.6667,22.73,79,0,2.44,MG,1698548063
273,newman,37.3138,-121.0208,15.99,44,0,0.89,US,1698548172
274,klyuchi,52.2667,79.1667,0.21,47,100,5.03,RU,1698548323
275,ahar,38.4774,47.0699,12.23,51,19,2.29,IR,1698548323
276,kolonia town,6.964,158.206,31.0,70,100,1.54,FM,1698548323
277,saint-philippe,-21.3585,55.7679,23.77,86,43,4.71,RE,1698548323
278,nuuk,64.1835,-51.7216,-4.51,73,100,7.6,GL,1698548323
279,vila velha,-20.3297,-40.2925,25.97,83,75,5.14,BR,1698548143
280,cuajinicuilapa,16.4667,-98.4167,24.92,89,100,0.53,MX,1698548324
281,levuka,50.1834,-105.4011,-6.16,95,91,2.93,CA,1698548324
282,mahalapye,-23.1041,26.8142,24.36,37,94,3.85,BW,1698548324
283,tadine,-21.55,167.8833,22.8,66,16,8.09,NC,1698548324
284,okahandja,-21.9833,16.9167,18.97,18,0,3.41,NA,1698548324
285,baishan,41.9431,126.4286,12.85,36,12,1.77,CN,1698548324
286,yasnogorsk,54.4803,37.6975,-0.59,98,100,5.99,RU,1698548324
287,muang phonsavan,19.45,103.2167,21.89,84,100,1.01,LA,1698548324
288,hastings,50.8552,0.5729,12.51,48,29,12.33,GB,1698548324
289,boende,-0.2167,20.8667,20.87,99,86,0.64,CD,1698548324
290,newbiggin-by-the-sea,55.1853,-1.5147,11.66,96,75,6.17,GB,1698548324
291,saint-louis,16.3333,-15.0,26.81,49,6,4.22,SN,1698548324
292,arauca,7.0847,-70.7591,26.98,83,20,0.0,CO,1698548324
293,katpur,21.05,71.7833,27.94,48,74,3.66,IN,1698548324
294,mahina,-17.5065,-149.489,27.87,74,40,4.12,PF,1698548324
295,banda aceh,5.5577,95.3222,28.78,70,100,4.07,ID,1698548325
296,colonia,50.9333,6.95,14.77,79,75,7.72,DE,1698548189
297,dunedin,-45.8742,170.5036,11.56,80,41,2.68,NZ,1698548325
298,mount isa,-20.7333,139.5,34.87,17,100,4.12,AU,1698548325
299,eirunepe,-6.6603,-69.8736,23.2,99,100,1.11,BR,1698548325
300,nova olimpia,-14.7972,-57.2881,25.24,74,34,1.43,BR,1698548325
301,enid,36.3956,-97.8784,2.27,96,100,7.2,US,1698548325
